,Serie,Date,Value
17136,Display-Direct Buy-NA-NA-WSJ-Spend,2023-12-24,0.0
17137,Display-Direct Buy-NA-NA-WSJ-Impressions,2023-12-24,1793.9638554216867
17138,Display-Direct Buy-NA-NA-WSJ-Clicks,2023-12-24,0.8313253012048193
17139,Display-Direct Buy-NA-NA-WSJ-Spend,2023-12-25,0.0
17140,Display-Direct Buy-NA-NA-WSJ-Impressions,2023-12-25,1793.9638554216867
17141,Display-Direct Buy-NA-NA-WSJ-Clicks,2023-12-25,0.8313253012048193
17142,Display-Direct Buy-NA-NA-WSJ-Spend,2023-12-26,0.0
17143,Display-Direct Buy-NA-NA-WSJ-Impressions,2023-12-26,1793.9638554216867
17144,Display-Direct Buy-NA-NA-WSJ-Clicks,2023-12-26,0.8313253012048193
17145,Display-Direct Buy-NA-NA-WSJ-Spend,2023-12-27,0.0
17146,Display-Direct Buy-NA-NA-WSJ-Impressions,2023-12-27,1793.9638554216867
17147,Display-Direct Buy-NA-NA-WSJ-Clicks,2023-12-27,0.8313253012048193
17148,Display-Direct Buy-NA-NA-WSJ-Spend,2023-12-28,0.0
17149,Display-Direct Buy-NA-NA-WSJ-Impressions,2023-12-28,1793.9638554216867
17150,Display-Direct Buy-NA-NA-WSJ-Clicks,2023-12-28,0.8313253012048193
17151,Display-Direct Buy-NA-NA-WSJ-Spend,2023-12-29,0.0
17152,Display-Direct Buy-NA-NA-WSJ-Impressions,2023-12-29,1793.9638554216867
17153,Display-Direct Buy-NA-NA-WSJ-Clicks,2023-12-29,0.8313253012048193
17154,Display-Direct Buy-NA-NA-WSJ-Spend,2023-12-30,0.0
17155,Display-Direct Buy-NA-NA-WSJ-Impressions,2023-12-30,1793.9638554216867
17156,Display-Direct Buy-NA-NA-WSJ-Clicks,2023-12-30,0.8313253012048193
17157,Display-Direct Buy-NA-NA-WSJ-Spend,2023-12-31,0.0
17158,Display-Direct Buy-NA-NA-WSJ-Impressions,2023-12-31,1793.9638554216867
17159,Display-Direct Buy-NA-NA-WSJ-Clicks,2023-12-31,0.8313253012048193
17160,Display-Direct Buy-NA-NA-WSJ-Spend,2024-01-01,0.0
17161,Display-Direct Buy-NA-NA-WSJ-Impressions,2024-01-01,1793.9638554216867
17162,Display-Direct Buy-NA-NA-WSJ-Clicks,2024-01-01,0.8313253012048193
17163,Display-Direct Buy-NA-NA-WSJ-Spend,2024-01-02,0.0
17164,Display-Direct Buy-NA-NA-WSJ-Impressions,2024-01-02,1793.9638554216867
17165,Display-Direct Buy-NA-NA-WSJ-Clicks,2024-01-02,0.8313253012048193
17166,Display-Direct Buy-NA-NA-WSJ-Spend,2024-01-03,0.0
17167,Display-Direct Buy-NA-NA-WSJ-Impressions,2024-01-03,1793.9638554216867
