,Serie,Date,Value
0,Event-Event-NA-NA-Non Partner-Registrations,2023-01-12,53.0
1,Event-Event-NA-NA-Non Partner-Spend,2023-01-12,0.0
2,Event-Event-NA-NA-Non Partner-Views,2023-01-12,0.0
3,Event-Event-NA-NA-Non Partner-Registrations,2023-01-19,13.0
4,Event-Event-NA-NA-Non Partner-Spend,2023-01-19,0.0
5,Event-Event-NA-NA-Non Partner-Views,2023-01-19,0.0
6,Event-Event-NA-NA-Non Partner-Registrations,2023-01-26,27.0
7,Event-Event-NA-NA-Non Partner-Spend,2023-01-26,0.0
8,Event-Event-NA-NA-Non Partner-Views,2023-01-26,0.0
9,Event-Event-NA-NA-Non Partner-Registrations,2023-02-09,29.0
10,Event-Event-NA-NA-Non Partner-Spend,2023-02-09,0.0
11,Event-Event-NA-NA-Non Partner-Views,2023-02-09,0.0
12,Event-Event-NA-NA-Partner-Registrations,2023-02-09,160.0
13,Event-Event-NA-NA-Partner-Spend,2023-02-09,0.0
14,Event-Event-NA-NA-Partner-Views,2023-02-09,0.0
15,Event-Event-NA-NA-Non Partner-Registrations,2023-02-23,66.0
16,Event-Event-NA-NA-Non Partner-Spend,2023-02-23,0.0
17,Event-Event-NA-NA-Non Partner-Views,2023-02-23,0.0
18,Event-Event-NA-NA-Non Partner-Registrations,2023-03-02,33.0
19,Event-Event-NA-NA-Non Partner-Spend,2023-03-02,0.0
20,Event-Event-NA-NA-Non Partner-Views,2023-03-02,0.0
21,Event-Event-NA-NA-Non Partner-Registrations,2023-03-08,70.0
22,Event-Event-NA-NA-Non Partner-Spend,2023-03-08,0.0
23,Event-Event-NA-NA-Non Partner-Views,2023-03-08,0.0
24,Event-Event-NA-NA-Non Partner-Registrations,2023-03-09,47.0
25,Event-Event-NA-NA-Non Partner-Spend,2023-03-09,0.0
26,Event-Event-NA-NA-Non Partner-Views,2023-03-09,0.0
27,Event-Event-NA-NA-Partner-Registrations,2023-03-14,23.0
28,Event-Event-NA-NA-Partner-Spend,2023-03-14,0.0
29,Event-Event-NA-NA-Partner-Views,2023-03-14,0.0
30,Event-Event-NA-NA-Partner-Registrations,2023-03-21,304.0
31,Event-Event-NA-NA-Partner-Spend,2023-03-21,0.0
32,Event-Event-NA-NA-Partner-Views,2023-03-21,0.0
33,Event-Event-NA-NA-Non Partner-Registrations,2023-03-21,428.0
34,Event-Event-NA-NA-Non Partner-Spend,2023-03-21,0.0
35,Event-Event-NA-NA-Non Partner-Views,2023-03-21,0.0
36,Event-Event-NA-NA-Partner-Registrations,2023-03-22,32.0
37,Event-Event-NA-NA-Partner-Spend,2023-03-22,0.0
38,Event-Event-NA-NA-Partner-Views,2023-03-22,0.0
39,Event-Event-NA-NA-Non Partner-Registrations,2023-03-23,34.0
40,Event-Event-NA-NA-Non Partner-Spend,2023-03-23,0.0
41,Event-Event-NA-NA-Non Partner-Views,2023-03-23,0.0
42,Event-Event-NA-NA-Non Partner-Registrations,2023-03-26,55.0
43,Event-Event-NA-NA-Non Partner-Spend,2023-03-26,0.0
44,Event-Event-NA-NA-Non Partner-Views,2023-03-26,0.0
45,Event-Event-NA-NA-Partner-Registrations,2023-03-27,57.0
46,Event-Event-NA-NA-Partner-Spend,2023-03-27,0.0
47,Event-Event-NA-NA-Partner-Views,2023-03-27,0.0
48,Event-Event-NA-NA-Non Partner-Registrations,2023-03-28,6.0
49,Event-Event-NA-NA-Non Partner-Spend,2023-03-28,0.0
50,Event-Event-NA-NA-Non Partner-Views,2023-03-28,0.0
51,Event-Event-NA-NA-Partner-Registrations,2023-03-29,4.0
52,Event-Event-NA-NA-Partner-Spend,2023-03-29,0.0
53,Event-Event-NA-NA-Partner-Views,2023-03-29,0.0
54,Event-Event-NA-NA-Non Partner-Registrations,2023-03-30,217.0
55,Event-Event-NA-NA-Non Partner-Spend,2023-03-30,0.0
56,Event-Event-NA-NA-Non Partner-Views,2023-03-30,0.0
57,Event-Event-NA-NA-Partner-Registrations,2023-03-31,80.0
58,Event-Event-NA-NA-Partner-Spend,2023-03-31,0.0
59,Event-Event-NA-NA-Partner-Views,2023-03-31,0.0
60,Event-Event-NA-NA-Non Partner-Registrations,2023-04-06,42.0
61,Event-Event-NA-NA-Non Partner-Spend,2023-04-06,0.0
62,Event-Event-NA-NA-Non Partner-Views,2023-04-06,0.0
63,Event-Event-NA-NA-Partner-Registrations,2023-04-12,16.0
64,Event-Event-NA-NA-Partner-Spend,2023-04-12,0.0
65,Event-Event-NA-NA-Partner-Views,2023-04-12,0.0
66,Event-Event-NA-NA-Partner-Registrations,2023-04-17,91.0
67,Event-Event-NA-NA-Partner-Spend,2023-04-17,0.0
68,Event-Event-NA-NA-Partner-Views,2023-04-17,0.0
69,Event-Event-NA-NA-Non Partner-Registrations,2023-04-19,154.0
70,Event-Event-NA-NA-Non Partner-Spend,2023-04-19,0.0
71,Event-Event-NA-NA-Non Partner-Views,2023-04-19,0.0
72,Event-Event-NA-NA-Non Partner-Registrations,2023-04-20,105.0
73,Event-Event-NA-NA-Non Partner-Spend,2023-04-20,0.0
74,Event-Event-NA-NA-Non Partner-Views,2023-04-20,0.0
75,Event-Event-NA-NA-Non Partner-Registrations,2023-04-28,78.0
76,Event-Event-NA-NA-Non Partner-Spend,2023-04-28,0.0
77,Event-Event-NA-NA-Non Partner-Views,2023-04-28,0.0
78,Event-Event-NA-NA-Partner-Registrations,2023-05-01,65.0
79,Event-Event-NA-NA-Partner-Spend,2023-05-01,0.0
80,Event-Event-NA-NA-Partner-Views,2023-05-01,0.0
81,Event-Event-NA-NA-Partner-Registrations,2023-05-03,112.0
82,Event-Event-NA-NA-Partner-Spend,2023-05-03,0.0
83,Event-Event-NA-NA-Partner-Views,2023-05-03,0.0
84,Event-Event-NA-NA-Non Partner-Registrations,2023-05-03,11.0
85,Event-Event-NA-NA-Non Partner-Spend,2023-05-03,0.0
86,Event-Event-NA-NA-Non Partner-Views,2023-05-03,0.0
87,Event-Event-NA-NA-Non Partner-Registrations,2023-05-04,328.0
88,Event-Event-NA-NA-Non Partner-Spend,2023-05-04,0.0
89,Event-Event-NA-NA-Non Partner-Views,2023-05-04,0.0
90,Event-Event-NA-NA-Non Partner-Registrations,2023-05-09,100.0
91,Event-Event-NA-NA-Non Partner-Spend,2023-05-09,0.0
92,Event-Event-NA-NA-Non Partner-Views,2023-05-09,0.0
93,Event-Event-NA-NA-Non Partner-Registrations,2023-05-10,86.0
94,Event-Event-NA-NA-Non Partner-Spend,2023-05-10,0.0
95,Event-Event-NA-NA-Non Partner-Views,2023-05-10,0.0
96,Event-Event-NA-NA-Partner-Registrations,2023-05-11,36.0
97,Event-Event-NA-NA-Partner-Spend,2023-05-11,0.0
98,Event-Event-NA-NA-Partner-Views,2023-05-11,0.0
99,Event-Event-NA-NA-Non Partner-Registrations,2023-05-11,20.0
100,Event-Event-NA-NA-Non Partner-Spend,2023-05-11,0.0
101,Event-Event-NA-NA-Non Partner-Views,2023-05-11,0.0
102,Event-Event-NA-NA-Non Partner-Registrations,2023-05-17,31.0
103,Event-Event-NA-NA-Non Partner-Spend,2023-05-17,0.0
104,Event-Event-NA-NA-Non Partner-Views,2023-05-17,0.0
105,Event-Event-NA-NA-Partner-Registrations,2023-05-17,17.0
106,Event-Event-NA-NA-Partner-Spend,2023-05-17,0.0
107,Event-Event-NA-NA-Partner-Views,2023-05-17,0.0
108,Event-Event-NA-NA-Non Partner-Registrations,2023-05-18,48.0
109,Event-Event-NA-NA-Non Partner-Spend,2023-05-18,0.0
110,Event-Event-NA-NA-Non Partner-Views,2023-05-18,0.0
111,Event-Event-NA-NA-Partner-Registrations,2023-05-18,53.0
112,Event-Event-NA-NA-Partner-Spend,2023-05-18,0.0
113,Event-Event-NA-NA-Partner-Views,2023-05-18,0.0
114,Event-Event-NA-NA-Non Partner-Registrations,2023-05-23,8.0
115,Event-Event-NA-NA-Non Partner-Spend,2023-05-23,0.0
116,Event-Event-NA-NA-Non Partner-Views,2023-05-23,0.0
117,Event-Event-NA-NA-Partner-Registrations,2023-05-24,9.0
118,Event-Event-NA-NA-Partner-Spend,2023-05-24,0.0
119,Event-Event-NA-NA-Partner-Views,2023-05-24,0.0
120,Event-Event-NA-NA-Non Partner-Registrations,2023-05-24,341.0
121,Event-Event-NA-NA-Non Partner-Spend,2023-05-24,0.0
122,Event-Event-NA-NA-Non Partner-Views,2023-05-24,0.0
123,Event-Event-NA-NA-Non Partner-Registrations,2023-05-25,162.0
124,Event-Event-NA-NA-Non Partner-Spend,2023-05-25,0.0
125,Event-Event-NA-NA-Non Partner-Views,2023-05-25,0.0
126,Event-Event-NA-NA-Non Partner-Registrations,2023-05-31,5.0
127,Event-Event-NA-NA-Non Partner-Spend,2023-05-31,0.0
128,Event-Event-NA-NA-Non Partner-Views,2023-05-31,0.0
129,Event-Event-NA-NA-Non Partner-Registrations,2023-06-01,25.0
130,Event-Event-NA-NA-Non Partner-Spend,2023-06-01,0.0
131,Event-Event-NA-NA-Non Partner-Views,2023-06-01,0.0
132,Event-Event-NA-NA-Non Partner-Registrations,2023-06-05,1045.0
133,Event-Event-NA-NA-Non Partner-Spend,2023-06-05,0.0
134,Event-Event-NA-NA-Non Partner-Views,2023-06-05,0.0
135,Event-Event-NA-NA-Partner-Registrations,2023-06-06,30.0
136,Event-Event-NA-NA-Partner-Spend,2023-06-06,0.0
137,Event-Event-NA-NA-Partner-Views,2023-06-06,0.0
138,Event-Event-NA-NA-Non Partner-Registrations,2023-06-06,22.0
139,Event-Event-NA-NA-Non Partner-Spend,2023-06-06,0.0
140,Event-Event-NA-NA-Non Partner-Views,2023-06-06,0.0
141,Event-Event-NA-NA-Partner-Registrations,2023-06-07,50.0
142,Event-Event-NA-NA-Partner-Spend,2023-06-07,0.0
143,Event-Event-NA-NA-Partner-Views,2023-06-07,0.0
144,Event-Event-NA-NA-Non Partner-Registrations,2023-06-07,89.0
145,Event-Event-NA-NA-Non Partner-Spend,2023-06-07,0.0
146,Event-Event-NA-NA-Non Partner-Views,2023-06-07,0.0
147,Event-Event-NA-NA-Partner-Registrations,2023-06-08,29.0
148,Event-Event-NA-NA-Partner-Spend,2023-06-08,0.0
149,Event-Event-NA-NA-Partner-Views,2023-06-08,0.0
150,Event-Event-NA-NA-Non Partner-Registrations,2023-06-08,1052.0
151,Event-Event-NA-NA-Non Partner-Spend,2023-06-08,0.0
152,Event-Event-NA-NA-Non Partner-Views,2023-06-08,0.0
153,Event-Event-NA-NA-Non Partner-Registrations,2023-06-09,48.0
154,Event-Event-NA-NA-Non Partner-Spend,2023-06-09,0.0
155,Event-Event-NA-NA-Non Partner-Views,2023-06-09,0.0
156,Event-Event-NA-NA-Partner-Registrations,2023-06-12,47.0
157,Event-Event-NA-NA-Partner-Spend,2023-06-12,0.0
158,Event-Event-NA-NA-Partner-Views,2023-06-12,0.0
159,Event-Event-NA-NA-Non Partner-Registrations,2023-06-12,128.0
160,Event-Event-NA-NA-Non Partner-Spend,2023-06-12,0.0
161,Event-Event-NA-NA-Non Partner-Views,2023-06-12,0.0
162,Event-Event-NA-NA-Non Partner-Registrations,2023-06-14,79.0
163,Event-Event-NA-NA-Non Partner-Spend,2023-06-14,0.0
164,Event-Event-NA-NA-Non Partner-Views,2023-06-14,0.0
165,Event-Event-NA-NA-Non Partner-Registrations,2023-06-15,99.0
166,Event-Event-NA-NA-Non Partner-Spend,2023-06-15,0.0
167,Event-Event-NA-NA-Non Partner-Views,2023-06-15,0.0
168,Event-Event-NA-NA-Partner-Registrations,2023-06-15,58.0
169,Event-Event-NA-NA-Partner-Spend,2023-06-15,0.0
170,Event-Event-NA-NA-Partner-Views,2023-06-15,0.0
171,Event-Event-NA-NA-Partner-Registrations,2023-06-20,61.0
172,Event-Event-NA-NA-Partner-Spend,2023-06-20,0.0
173,Event-Event-NA-NA-Partner-Views,2023-06-20,0.0
174,Event-Event-NA-NA-Non Partner-Registrations,2023-06-21,17.0
175,Event-Event-NA-NA-Non Partner-Spend,2023-06-21,0.0
176,Event-Event-NA-NA-Non Partner-Views,2023-06-21,0.0
177,Event-Event-NA-NA-Non Partner-Registrations,2023-06-22,77.0
178,Event-Event-NA-NA-Non Partner-Spend,2023-06-22,0.0
179,Event-Event-NA-NA-Non Partner-Views,2023-06-22,0.0
180,Event-Event-NA-NA-Partner-Registrations,2023-06-27,181.0
181,Event-Event-NA-NA-Partner-Spend,2023-06-27,0.0
182,Event-Event-NA-NA-Partner-Views,2023-06-27,0.0
183,Event-Event-NA-NA-Non Partner-Registrations,2023-06-29,418.0
184,Event-Event-NA-NA-Non Partner-Spend,2023-06-29,0.0
185,Event-Event-NA-NA-Non Partner-Views,2023-06-29,0.0
186,Event-Event-NA-NA-Non Partner-Registrations,2023-07-06,25.0
187,Event-Event-NA-NA-Non Partner-Spend,2023-07-06,0.0
188,Event-Event-NA-NA-Non Partner-Views,2023-07-06,0.0
189,Event-Event-NA-NA-Non Partner-Registrations,2023-07-07,10.0
190,Event-Event-NA-NA-Non Partner-Spend,2023-07-07,0.0
191,Event-Event-NA-NA-Non Partner-Views,2023-07-07,0.0
192,Event-Event-NA-NA-Non Partner-Registrations,2023-07-14,2405.0
193,Event-Event-NA-NA-Non Partner-Spend,2023-07-14,0.0
194,Event-Event-NA-NA-Non Partner-Views,2023-07-14,0.0
195,Event-Event-NA-NA-Partner-Registrations,2023-07-18,35.0
196,Event-Event-NA-NA-Partner-Spend,2023-07-18,0.0
197,Event-Event-NA-NA-Partner-Views,2023-07-18,0.0
198,Event-Event-NA-NA-Non Partner-Registrations,2023-07-19,11.0
199,Event-Event-NA-NA-Non Partner-Spend,2023-07-19,0.0
200,Event-Event-NA-NA-Non Partner-Views,2023-07-19,0.0
201,Event-Event-NA-NA-Partner-Registrations,2023-07-19,5.0
202,Event-Event-NA-NA-Partner-Spend,2023-07-19,0.0
203,Event-Event-NA-NA-Partner-Views,2023-07-19,0.0
204,Event-Event-NA-NA-Non Partner-Registrations,2023-07-20,91.0
205,Event-Event-NA-NA-Non Partner-Spend,2023-07-20,0.0
206,Event-Event-NA-NA-Non Partner-Views,2023-07-20,0.0
207,Event-Event-NA-NA-Non Partner-Registrations,2023-07-27,19.0
208,Event-Event-NA-NA-Non Partner-Spend,2023-07-27,0.0
209,Event-Event-NA-NA-Non Partner-Views,2023-07-27,0.0
210,Event-Event-NA-NA-Partner-Registrations,2023-08-01,10.0
211,Event-Event-NA-NA-Partner-Spend,2023-08-01,0.0
212,Event-Event-NA-NA-Partner-Views,2023-08-01,0.0
213,Event-Event-NA-NA-Non Partner-Registrations,2023-08-01,401.0
214,Event-Event-NA-NA-Non Partner-Spend,2023-08-01,0.0
215,Event-Event-NA-NA-Non Partner-Views,2023-08-01,0.0
216,Event-Event-NA-NA-Non Partner-Registrations,2023-08-03,64.0
217,Event-Event-NA-NA-Non Partner-Spend,2023-08-03,0.0
218,Event-Event-NA-NA-Non Partner-Views,2023-08-03,0.0
219,Event-Event-NA-NA-Non Partner-Registrations,2023-08-17,45.0
220,Event-Event-NA-NA-Non Partner-Spend,2023-08-17,0.0
221,Event-Event-NA-NA-Non Partner-Views,2023-08-17,0.0
222,Event-Event-NA-NA-Partner-Registrations,2023-08-21,44.0
223,Event-Event-NA-NA-Partner-Spend,2023-08-21,0.0
224,Event-Event-NA-NA-Partner-Views,2023-08-21,0.0
225,Event-Event-NA-NA-Non Partner-Registrations,2023-08-21,32.0
226,Event-Event-NA-NA-Non Partner-Spend,2023-08-21,0.0
227,Event-Event-NA-NA-Non Partner-Views,2023-08-21,0.0
228,Event-Event-NA-NA-Partner-Registrations,2023-08-24,49.0
229,Event-Event-NA-NA-Partner-Spend,2023-08-24,0.0
230,Event-Event-NA-NA-Partner-Views,2023-08-24,0.0
231,Event-Event-NA-NA-Non Partner-Registrations,2023-08-28,95.0
232,Event-Event-NA-NA-Non Partner-Spend,2023-08-28,0.0
233,Event-Event-NA-NA-Non Partner-Views,2023-08-28,0.0
234,Event-Event-NA-NA-Partner-Registrations,2023-08-29,84.0
235,Event-Event-NA-NA-Partner-Spend,2023-08-29,0.0
236,Event-Event-NA-NA-Partner-Views,2023-08-29,0.0
237,Event-Event-NA-NA-Non Partner-Registrations,2023-08-30,31.0
238,Event-Event-NA-NA-Non Partner-Spend,2023-08-30,0.0
239,Event-Event-NA-NA-Non Partner-Views,2023-08-30,0.0
240,Event-Event-NA-NA-Non Partner-Registrations,2023-08-31,161.0
241,Event-Event-NA-NA-Non Partner-Spend,2023-08-31,0.0
242,Event-Event-NA-NA-Non Partner-Views,2023-08-31,0.0
243,Event-Event-NA-NA-Partner-Registrations,2023-08-31,14.0
244,Event-Event-NA-NA-Partner-Spend,2023-08-31,0.0
245,Event-Event-NA-NA-Partner-Views,2023-08-31,0.0
246,Event-Event-NA-NA-Non Partner-Registrations,2023-09-06,13.0
247,Event-Event-NA-NA-Non Partner-Spend,2023-09-06,0.0
248,Event-Event-NA-NA-Non Partner-Views,2023-09-06,0.0
249,Event-Event-NA-NA-Partner-Registrations,2023-09-13,94.0
250,Event-Event-NA-NA-Partner-Spend,2023-09-13,0.0
251,Event-Event-NA-NA-Partner-Views,2023-09-13,0.0
252,Event-Event-NA-NA-Non Partner-Registrations,2023-09-13,3.0
253,Event-Event-NA-NA-Non Partner-Spend,2023-09-13,0.0
254,Event-Event-NA-NA-Non Partner-Views,2023-09-13,0.0
255,Event-Event-NA-NA-Non Partner-Registrations,2023-09-14,434.0
256,Event-Event-NA-NA-Non Partner-Spend,2023-09-14,0.0
257,Event-Event-NA-NA-Non Partner-Views,2023-09-14,0.0
258,Event-Event-NA-NA-Partner-Registrations,2023-09-14,10.0
259,Event-Event-NA-NA-Partner-Spend,2023-09-14,0.0
260,Event-Event-NA-NA-Partner-Views,2023-09-14,0.0
261,Event-Event-NA-NA-Partner-Registrations,2023-09-19,31.0
262,Event-Event-NA-NA-Partner-Spend,2023-09-19,0.0
263,Event-Event-NA-NA-Partner-Views,2023-09-19,0.0
264,Event-Event-NA-NA-Non Partner-Registrations,2023-09-20,552.0
265,Event-Event-NA-NA-Non Partner-Spend,2023-09-20,0.0
266,Event-Event-NA-NA-Non Partner-Views,2023-09-20,0.0
267,Event-Event-NA-NA-Partner-Registrations,2023-09-20,21.0
268,Event-Event-NA-NA-Partner-Spend,2023-09-20,0.0
269,Event-Event-NA-NA-Partner-Views,2023-09-20,0.0
270,Event-Event-NA-NA-Non Partner-Registrations,2023-09-26,197.0
271,Event-Event-NA-NA-Non Partner-Spend,2023-09-26,0.0
272,Event-Event-NA-NA-Non Partner-Views,2023-09-26,0.0
273,Event-Event-NA-NA-Partner-Registrations,2023-09-26,13.0
274,Event-Event-NA-NA-Partner-Spend,2023-09-26,0.0
275,Event-Event-NA-NA-Partner-Views,2023-09-26,0.0
276,Event-Event-NA-NA-Partner-Registrations,2023-09-27,672.0
277,Event-Event-NA-NA-Partner-Spend,2023-09-27,0.0
278,Event-Event-NA-NA-Partner-Views,2023-09-27,0.0
279,Event-Event-NA-NA-Partner-Registrations,2023-09-28,740.0
280,Event-Event-NA-NA-Partner-Spend,2023-09-28,0.0
281,Event-Event-NA-NA-Partner-Views,2023-09-28,0.0
282,Event-Event-NA-NA-Non Partner-Registrations,2023-09-28,125.0
283,Event-Event-NA-NA-Non Partner-Spend,2023-09-28,0.0
284,Event-Event-NA-NA-Non Partner-Views,2023-09-28,0.0
285,Event-Event-NA-NA-Partner-Registrations,2023-10-03,24.0
286,Event-Event-NA-NA-Partner-Spend,2023-10-03,0.0
287,Event-Event-NA-NA-Partner-Views,2023-10-03,0.0
288,Event-Event-NA-NA-Non Partner-Registrations,2023-10-03,61.0
289,Event-Event-NA-NA-Non Partner-Spend,2023-10-03,0.0
290,Event-Event-NA-NA-Non Partner-Views,2023-10-03,0.0
291,Event-Event-NA-NA-Non Partner-Registrations,2023-10-04,629.0
292,Event-Event-NA-NA-Non Partner-Spend,2023-10-04,0.0
293,Event-Event-NA-NA-Non Partner-Views,2023-10-04,0.0
294,Event-Event-NA-NA-Non Partner-Registrations,2023-10-05,294.0
295,Event-Event-NA-NA-Non Partner-Spend,2023-10-05,0.0
296,Event-Event-NA-NA-Non Partner-Views,2023-10-05,0.0
297,Event-Event-NA-NA-Non Partner-Registrations,2023-10-10,70.0
298,Event-Event-NA-NA-Non Partner-Spend,2023-10-10,0.0
299,Event-Event-NA-NA-Non Partner-Views,2023-10-10,0.0
300,Event-Event-NA-NA-Non Partner-Registrations,2023-10-12,285.0
301,Event-Event-NA-NA-Non Partner-Spend,2023-10-12,0.0
302,Event-Event-NA-NA-Non Partner-Views,2023-10-12,0.0
303,Event-Event-NA-NA-Partner-Registrations,2023-10-12,196.0
304,Event-Event-NA-NA-Partner-Spend,2023-10-12,0.0
305,Event-Event-NA-NA-Partner-Views,2023-10-12,0.0
306,Event-Event-NA-NA-Non Partner-Registrations,2023-10-17,31.0
307,Event-Event-NA-NA-Non Partner-Spend,2023-10-17,0.0
308,Event-Event-NA-NA-Non Partner-Views,2023-10-17,0.0
309,Event-Event-NA-NA-Non Partner-Registrations,2023-10-18,28.0
310,Event-Event-NA-NA-Non Partner-Spend,2023-10-18,0.0
311,Event-Event-NA-NA-Non Partner-Views,2023-10-18,0.0
312,Event-Event-NA-NA-Non Partner-Registrations,2023-10-19,461.0
313,Event-Event-NA-NA-Non Partner-Spend,2023-10-19,0.0
314,Event-Event-NA-NA-Non Partner-Views,2023-10-19,0.0
315,Event-Event-NA-NA-Non Partner-Registrations,2023-10-23,10.0
316,Event-Event-NA-NA-Non Partner-Spend,2023-10-23,0.0
317,Event-Event-NA-NA-Non Partner-Views,2023-10-23,0.0
318,Event-Event-NA-NA-Partner-Registrations,2023-10-24,34.0
319,Event-Event-NA-NA-Partner-Spend,2023-10-24,0.0
320,Event-Event-NA-NA-Partner-Views,2023-10-24,0.0
321,Event-Event-NA-NA-Non Partner-Registrations,2023-10-25,17.0
322,Event-Event-NA-NA-Non Partner-Spend,2023-10-25,0.0
323,Event-Event-NA-NA-Non Partner-Views,2023-10-25,0.0
324,Event-Event-NA-NA-Partner-Registrations,2023-10-26,5.0
325,Event-Event-NA-NA-Partner-Spend,2023-10-26,0.0
326,Event-Event-NA-NA-Partner-Views,2023-10-26,0.0
327,Event-Event-NA-NA-Non Partner-Registrations,2023-11-08,358.0
328,Event-Event-NA-NA-Non Partner-Spend,2023-11-08,0.0
329,Event-Event-NA-NA-Non Partner-Views,2023-11-08,0.0
330,Event-Event-NA-NA-Partner-Registrations,2023-11-08,166.0
331,Event-Event-NA-NA-Partner-Spend,2023-11-08,0.0
332,Event-Event-NA-NA-Partner-Views,2023-11-08,0.0
333,Event-Event-NA-NA-Non Partner-Registrations,2023-11-09,20.0
334,Event-Event-NA-NA-Non Partner-Spend,2023-11-09,0.0
335,Event-Event-NA-NA-Non Partner-Views,2023-11-09,0.0
336,Event-Event-NA-NA-Partner-Registrations,2023-11-09,49.0
337,Event-Event-NA-NA-Partner-Spend,2023-11-09,0.0
338,Event-Event-NA-NA-Partner-Views,2023-11-09,0.0
339,Event-Event-NA-NA-Non Partner-Registrations,2023-11-16,20.0
340,Event-Event-NA-NA-Non Partner-Spend,2023-11-16,0.0
341,Event-Event-NA-NA-Non Partner-Views,2023-11-16,0.0
342,Event-Event-NA-NA-Non Partner-Registrations,2023-11-23,48.0
343,Event-Event-NA-NA-Non Partner-Spend,2023-11-23,0.0
344,Event-Event-NA-NA-Non Partner-Views,2023-11-23,0.0
345,Event-Event-NA-NA-Partner-Registrations,2023-12-06,64.0
346,Event-Event-NA-NA-Partner-Spend,2023-12-06,0.0
347,Event-Event-NA-NA-Partner-Views,2023-12-06,0.0
348,Event-Event-NA-NA-Partner-Registrations,2023-12-07,16.0
349,Event-Event-NA-NA-Partner-Spend,2023-12-07,0.0
350,Event-Event-NA-NA-Partner-Views,2023-12-07,0.0
351,Event-Event-NA-NA-Partner-Registrations,2023-12-13,16.0
352,Event-Event-NA-NA-Partner-Spend,2023-12-13,0.0
353,Event-Event-NA-NA-Partner-Views,2023-12-13,0.0
354,Event-Event-NA-NA-Non Partner-Registrations,2023-12-13,134.0
355,Event-Event-NA-NA-Non Partner-Spend,2023-12-13,0.0
356,Event-Event-NA-NA-Non Partner-Views,2023-12-13,0.0
357,Event-Event-NA-NA-Non Partner-Registrations,2023-12-14,12.0
358,Event-Event-NA-NA-Non Partner-Spend,2023-12-14,0.0
359,Event-Event-NA-NA-Non Partner-Views,2023-12-14,0.0
360,Event-Event-NA-NA-Non Partner-Registrations,2024-01-10,10.0
361,Event-Event-NA-NA-Non Partner-Spend,2024-01-10,0.0
362,Event-Event-NA-NA-Non Partner-Views,2024-01-10,0.0
363,Event-Event-NA-NA-Non Partner-Registrations,2024-01-15,16.0
364,Event-Event-NA-NA-Non Partner-Spend,2024-01-15,0.0
365,Event-Event-NA-NA-Non Partner-Views,2024-01-15,0.0
366,Event-Event-NA-NA-Non Partner-Registrations,2024-01-18,41.0
367,Event-Event-NA-NA-Non Partner-Spend,2024-01-18,0.0
368,Event-Event-NA-NA-Non Partner-Views,2024-01-18,0.0
369,Event-Event-NA-NA-Partner-Registrations,2024-01-24,2.0
370,Event-Event-NA-NA-Partner-Spend,2024-01-24,0.0
371,Event-Event-NA-NA-Partner-Views,2024-01-24,0.0
372,Event-Event-NA-NA-Non Partner-Registrations,2024-01-25,7.0
373,Event-Event-NA-NA-Non Partner-Spend,2024-01-25,0.0
374,Event-Event-NA-NA-Non Partner-Views,2024-01-25,0.0
375,Event-Event-NA-NA-Partner-Registrations,2024-01-25,17.0
376,Event-Event-NA-NA-Partner-Spend,2024-01-25,0.0
377,Event-Event-NA-NA-Partner-Views,2024-01-25,0.0
378,Event-Event-NA-NA-Non Partner-Registrations,2024-01-29,12.0
379,Event-Event-NA-NA-Non Partner-Spend,2024-01-29,0.0
380,Event-Event-NA-NA-Non Partner-Views,2024-01-29,0.0
381,Event-Event-NA-NA-Non Partner-Registrations,2024-01-30,4.0
382,Event-Event-NA-NA-Non Partner-Spend,2024-01-30,0.0
383,Event-Event-NA-NA-Non Partner-Views,2024-01-30,0.0
384,Event-Event-NA-NA-Partner-Registrations,2024-01-30,13.0
385,Event-Event-NA-NA-Partner-Spend,2024-01-30,0.0
386,Event-Event-NA-NA-Partner-Views,2024-01-30,0.0
387,Event-Event-NA-NA-Non Partner-Registrations,2024-01-31,14.0
388,Event-Event-NA-NA-Non Partner-Spend,2024-01-31,0.0
389,Event-Event-NA-NA-Non Partner-Views,2024-01-31,0.0
390,Event-Event-NA-NA-Non Partner-Registrations,2024-02-10,5.0
391,Event-Event-NA-NA-Non Partner-Spend,2024-02-10,0.0
392,Event-Event-NA-NA-Non Partner-Views,2024-02-10,0.0
393,Event-Event-NA-NA-Non Partner-Registrations,2023-11-27,4.0
394,Event-Event-NA-NA-Non Partner-Spend,2023-11-27,0.0
395,Event-Event-NA-NA-Non Partner-Views,2023-11-27,0.0
396,Event-Event-NA-NA-Non Partner-Registrations,2023-11-28,229.0
397,Event-Event-NA-NA-Non Partner-Spend,2023-11-28,0.0
398,Event-Event-NA-NA-Non Partner-Views,2023-11-28,0.0
399,KPI-Other-NA-NA-Web Visits,2023-01-01,1213.0
400,KPI-Other-NA-NA-P1 Form Visitors,2023-01-01,215.0
401,KPI-Other-NA-NA-P1 Form Completes,2023-01-01,3.0
402,KPI-Search-NA-NA-Web Visits,2023-01-01,1482.0
403,KPI-Search-NA-NA-P1 Form Visitors,2023-01-01,23.0
404,KPI-Search-NA-NA-P1 Form Completes,2023-01-01,0.0
405,KPI-Direct-NA-NA-Web Visits,2023-01-01,3775.0
406,KPI-Direct-NA-NA-P1 Form Visitors,2023-01-01,62.0
